od_no,o_zone_id,d_zone_id,o_zone_agent_type_cover_flag,d_zone_agent_type_cover_flag,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,sensor_flag,toll,travel_time,VDF_travel_time,travel_time_without_access_link,#_of_nodes,distance_kmOD0,OD1,OD2,OD3,OD4,OD5,OD6,OD7,OD8,OD9,OD10,OD11,OD12,OD13,OD14,OD15,OD16,OD17,OD18,OD19,
40,1,645,0,0,0,0,sov,PM,4.07,0,1,1,0.0,12.9,12.8680,12.8680,13,6.6935,9.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
41,1,645,0,0,1,0,sov,PM,62.33,0,1,1,0.0,12.6,12.5843,12.5843,15,6.7824,9.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
42,1,646,0,0,0,0,sov,PM,63.44,0,1,1,0.0,12.2,12.2058,12.2058,11,6.0706,9.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
43,1,647,0,0,0,0,sov,PM,63.44,0,1,1,0.0,5.9,5.9469,5.9469,8,3.3806,9.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
44,1,649,0,0,0,0,sov,PM,63.44,0,1,1,0.0,10.9,10.9392,10.9392,9,5.1919,9.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
45,1,650,0,0,0,0,sov,PM,21.73,0,1,1,0.0,13.0,13.0162,13.0162,17,8.5453,3.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
46,1,651,0,0,0,0,sov,PM,63.44,0,1,1,0.0,11.9,11.9153,11.9153,13,6.5100,9.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
47,1,652,0,0,0,0,sov,PM,63.44,0,1,1,0.0,10.6,10.5601,10.5601,11,5.2281,9.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
48,1,653,0,0,0,0,sov,PM,63.44,0,1,1,0.0,6.1,6.1443,6.1443,9,3.5930,9.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
49,1,654,0,0,0,0,sov,PM,45.31,0,1,1,0.0,9.6,9.5717,9.5717,11,5.2090,9.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
50,1,2061,0,0,0,0,sov,PM,63.44,0,1,1,0.0,14.5,14.4986,14.4986,18,9.6188,9.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
51,1,2125,0,0,0,0,sov,PM,1.10,0,1,1,0.0,17.0,17.0064,17.0064,16,11.5076,1.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
52,1,2136,0,0,0,0,sov,PM,3.93,0,1,1,0.0,15.4,15.4337,15.4337,18,10.4532,5.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
53,1,2137,0,0,0,0,sov,PM,1.59,0,1,1,0.0,18.5,18.5484,18.5484,20,12.4144,2.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
54,1,2142,0,0,0,0,sov,PM,10.42,0,1,1,0.0,13.3,13.3022,13.3022,14,8.7769,9.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
55,1,2146,0,0,0,0,sov,PM,4.32,0,1,1,0.0,15.6,15.6286,15.6286,17,11.1579,4.780000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
56,1,2147,0,0,0,0,sov,PM,1.55,0,1,1,0.0,18.7,18.7352,18.7352,20,12.4767,2.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
57,1,2197,0,0,0,0,sov,PM,7.06,0,1,1,0.0,16.9,16.8734,16.8734,18,8.6357,5.180000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
58,1,2197,0,0,1,0,sov,PM,1.71,0,1,1,0.0,17.0,16.9673,16.9673,19,8.7590,5.180000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
59,2,1,0,0,0,0,sov,PM,1493.81,0,1,1,0.0,12.0,12.0004,12.0004,12,6.5439,1730.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
60,2,4,0,0,0,0,sov,PM,2400.16,0,1,1,0.0,15.1,15.0586,15.0586,21,7.1560,2357.590088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
61,2,5,0,0,0,0,sov,PM,1125.69,0,1,1,0.0,19.1,19.0722,19.0722,24,9.3123,1086.290039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
62,2,6,0,0,0,0,sov,PM,47.50,0,1,1,0.0,30.6,30.5610,30.5610,16,12.1108,317.929993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
63,2,6,0,0,1,0,sov,PM,505.49,0,1,1,0.0,22.7,22.7097,22.7097,22,12.5529,317.929993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
64,2,8,0,0,0,0,sov,PM,7.33,0,1,1,0.0,10.0,10.0345,10.0345,10,4.4721,40.380001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
65,2,9,0,0,0,0,sov,PM,236.94,0,1,1,0.0,6.0,6.0057,6.0057,9,2.5498,89.660004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
66,2,10,0,0,0,0,sov,PM,127.90,0,1,1,0.0,7.7,7.7423,7.7423,11,3.4702,66.400002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
67,2,12,0,0,0,0,sov,PM,12.19,0,1,1,0.0,12.4,12.3511,12.3511,16,5.8003,16.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
68,2,14,0,0,0,0,sov,PM,49.12,0,1,1,0.0,16.6,16.5936,16.5936,21,7.6835,26.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
69,2,16,0,0,0,0,sov,PM,1.56,0,1,1,0.0,29.7,29.6732,29.6732,18,11.3133,13.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
70,2,16,0,0,1,0,sov,PM,20.41,0,1,1,0.0,21.8,21.8219,21.8219,24,11.7554,13.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
