link_id,from_node_id,to_node_id,from_cell_code,time_period,volume,background_volume,major_path_volume,ratio_of_major_path_flow,geometry,notes
201335BA,202730,202604,,1000_1500,48.806,0.000,48.806,1.000,"LINESTRING (-112.404621 33.640404, -112.409418 33.640400)",
201335BA,202730,202604,,1500_1800,27.400,0.000,27.400,1.000,"LINESTRING (-112.404621 33.640404, -112.409418 33.640400)",
201336AB,202614,202732,,0600_0900,873.213,0.000,873.213,1.000,"LINESTRING (-112.425869 33.655692, -112.404681 33.653021)",
201336AB,202614,202732,,1000_1500,0.000,0.000,0.000,-1.000,"LINESTRING (-112.425869 33.655692, -112.404681 33.653021)",
201336AB,202614,202732,,1500_1800,0.000,0.000,0.000,-1.000,"LINESTRING (-112.425869 33.655692, -112.404681 33.653021)",
201336BA,202732,202614,,0600_0900,579.109,0.000,579.109,1.000,"LINESTRING (-112.404281 33.656201, -112.425469 33.658872)",
201336BA,202732,202614,,1000_1500,0.000,0.000,0.000,-1.000,"LINESTRING (-112.404281 33.656201, -112.425469 33.658872)",
201336BA,202732,202614,,1500_1800,0.000,0.000,0.000,-1.000,"LINESTRING (-112.404281 33.656201, -112.425469 33.658872)",
201337AB,202609,202581,,0600_0900,476.559,0.000,476.559,1.000,"LINESTRING (-112.424010 33.665213, -112.414819 33.671594)",
201337AB,202609,202581,,1000_1500,19.229,0.000,19.229,1.000,"LINESTRING (-112.424010 33.665213, -112.414819 33.671594)",
201337AB,202609,202581,,1500_1800,10.795,0.000,10.795,1.000,"LINESTRING (-112.424010 33.665213, -112.414819 33.671594)",
201337BA,202581,202609,,0600_0900,462.195,0.000,462.195,1.000,"LINESTRING (-112.416647 33.674228, -112.425838 33.667847)",
201337BA,202581,202609,,1000_1500,18.783,0.000,18.783,1.000,"LINESTRING (-112.416647 33.674228, -112.425838 33.667847)",
201337BA,202581,202609,,1500_1800,10.545,0.000,10.545,1.000,"LINESTRING (-112.416647 33.674228, -112.425838 33.667847)",
201338AB,202581,202731,,0600_0900,1485.061,0.000,1485.061,1.000,"LINESTRING (-112.416160 33.671366, -112.401616 33.667351)",
201338AB,202581,202731,,1000_1500,1.368,0.000,1.368,1.000,"LINESTRING (-112.416160 33.671366, -112.401616 33.667351)",
201338AB,202581,202731,,1500_1800,0.768,0.000,0.768,1.000,"LINESTRING (-112.416160 33.671366, -112.401616 33.667351)",
201338BA,202731,202581,,0600_0900,1669.628,0.000,1669.628,1.000,"LINESTRING (-112.400762 33.670441, -112.415306 33.674456)",
201338BA,202731,202581,,1000_1500,1.571,0.000,1.571,1.000,"LINESTRING (-112.400762 33.670441, -112.415306 33.674456)",
201338BA,202731,202581,,1500_1800,0.882,0.000,0.882,1.000,"LINESTRING (-112.400762 33.670441, -112.415306 33.674456)",
201339AB,202620,202614,,0600_0900,1349.772,0.000,1349.772,1.000,"LINESTRING (-112.425280 33.652801, -112.424128 33.656843)",
201339AB,202620,202614,,1000_1500,19.229,0.000,19.229,1.000,"LINESTRING (-112.425280 33.652801, -112.424128 33.656843)",
201339AB,202620,202614,,1500_1800,10.795,0.000,10.795,1.000,"LINESTRING (-112.425280 33.652801, -112.424128 33.656843)",
201339BA,202614,202620,,0600_0900,1041.304,0.000,1041.304,1.000,"LINESTRING (-112.427210 33.657721, -112.428362 33.653679)",
201339BA,202614,202620,,1000_1500,18.783,0.000,18.783,1.000,"LINESTRING (-112.427210 33.657721, -112.428362 33.653679)",
201339BA,202614,202620,,1500_1800,10.545,0.000,10.545,1.000,"LINESTRING (-112.427210 33.657721, -112.428362 33.653679)",
201340AB,621,202581,,0600_0900,1486.577,0.000,1486.577,1.000,"LINESTRING (-112.425309 33.669162, -112.415388 33.671346)",
201340AB,621,202581,,1000_1500,20.151,0.000,20.151,1.000,"LINESTRING (-112.425309 33.669162, -112.415388 33.671346)",
